PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,TELKOM INFRASTRUKTUR INDONESIA,BANDUNG LEMBONG,
202601,PT APLIKANUSA LINTASARTA ,CIREBON,
202601,SKYLINE SEMESTA,BANDUNG LEMBONG,
202601,PT PGAS Telekomunikasi Nusantara,PALEMBANG TALANG KALAPA,
202601,JURAGAN WIFI INDONESIA,BANDUNG LEMBONG,
202601,MEGA AKSES PERSADA (FIBERSTAR),BANJARMASIN ULIN,
202601,SANTOSO MEDIA GEMILANG,BALIKPAPAN BATUAMPAR,
202601,MICROCYBER DATA INDONESIA,BATAM CENTRE LT 4,
202601,TELKOM DWS-TRIAL 8IC,JAKARTA MERUYA,Membership Class B
202601,PT INDONESIA COMNET PLUS,DENPASAR KALIASEM,
202601,FIBER NETWORKS INDONESIA,SURABAYA GUBENG,
202601,TELEMEDIA DINAMIKA SARANA (GASNET),PEKANBARU CENTRUM,
202601,MAXINDO MITRA SOLUSI,JAKARTA KARET TENGSIN,
202601,PT JASNITA TELEKOMINDO,BALIKPAPAN BATUAMPAR,
202601,BURAQ TELEKOMUNIKASI INDONESIA,MAKASSAR MATOANGIN,
202601,MENAKSOPAL LINK NUSANTARA,SURABAYA GUBENG,
202601,CELEBES MEDIA JARINGAN,MAKASSAR MATOANGIN,
202601,PT GRAHA INFORMATIKA NUSANTARA,JAKARTA KARET TENGSIN,
202601,PT APLIKANUSA LINTASARTA ,BANDUNG LEMBONG,
202601,WHIZ DIGITAL BERJAYA,DENPASAR KALIASEM,
202601,PT APLIKANUSA LINTASARTA ,BANJARMASIN ULIN,
202601,VICTORY NETWORK INDONESIA,JAKARTA KARET TENGSIN,Membership Class B
202601,METRA DIGITAL MEDIA  SARTEL.,JAKARTA KARET TENGSIN,
202601,FLASHNET INOVASI TEKNOLOGI,BANDUNG LEMBONG,
202601,ARIS MEDIA GLOBALINDO,SEMARANG CANDI,
202601,PT INDONESIA COMNET PLUS,BALIKPAPAN BATUAMPAR,
202601,CENDIKIA GLOBAL SOLUSI,DENPASAR KALIASEM,
202601,WAVE COMMUNICATION INDONESIA,MEDAN CENTRUM,
202601,PT INDONESIA COMNET PLUS,MEDAN CENTRUM,
202601,CENDIKIA GLOBAL SOLUSI,PEKANBARU CENTRUM,
202601,ARTHA MEDIA LINTAS NUSA,PONTIANAK CENTRUM,
202601,TIGATRA INFOKOM,DENPASAR KALIASEM,
202601,PT. PARSAORAN GLOBAL DATATRANS (HSPNET),BATAM CENTRE,
202601,DINAR WAHANA GEMILANG,BANDUNG LEMBONG,
202601,SARANA INTEGRASI PRIMA (GOESAR OPTIX),MEDAN CENTRUM,
202601,MENAKSOPAL LINK NUSANTARA,SURABAYA GUBENG,Membership Class C
202601,PT Trans Hybrid Communication,PONTIANAK CENTRUM,
202601,WOWRACK INDONESIA,JAKARTA KARET TENGSIN,Membership Class C
202601,INOVASI TEKNOLOGI PINTAR,JAKARTA KARET TENGSIN,
202601,KAYONG MUARA TEKNOINDO,PONTIANAK CENTRUM,
202601,PT INDONESIA COMNET PLUS,BANJARMASIN ULIN,
202601,WIDJAJA PIRANTI TEKNOLOGI,JAKARTA KARET TENGSIN,
202601,MEDIA SOLUSI SUKSES,BANDUNG LEMBONG,Membership Class C
202601,BLIP INTEGRATOR PROVIDER,SURABAYA GUBENG,Membership Class C
202601,MEDIA SARANA DATA ( GMEDIA ),SURABAYA GUBENG,Membership Class C
202601,LINTAS JARINGAN MANDIRI,DENPASAR KALIASEM,
202601,BORNEO BROADBAND TECHNOLOGY,BANJARMASIN ULIN,
202601,SARANA CIPTA KOMUNIKASI,MAKASSAR MATOANGIN,
202601,JARINGAN MITRA DATA,DENPASAR KALIASEM,
202601,HAQINET MEDIA COM,DENPASAR KALIASEM,
202601,PRIMADONA MEDIA DIGITALINDO,MAKASSAR MATOANGIN,
202601,MEDIA AKSES DATA,CIREBON,
202601,HAYAT TEKNOLOGI INFORMATIKA,BANDUNG LEMBONG,Membership Class C
202601,DATA UTAMA DINAMIKA,BANDUNG LEMBONG,
202601,MILENIAL INTI TELEKOMUNIKASI,BATAM CENTRE,
202601,GHADHE AKSES MANDIRI,BANDUNG LEMBONG,
202601,PC24 CYBER TELIN,SURABAYA GUBENG,
202601,PT. PARSAORAN GLOBAL DATATRANS (HSPNET),DENPASAR KALIASEM,
202601,PT APLIKANUSA LINTASARTA ,BANDUNG LEMBONG,Membership Class C
202601,INDO TEKNOLOGI LOGISTIC,JAKARTA KARET TENGSIN,
202601,POWER TELECOM (POWERTEL),JAKARTA KARET TENGSIN,
202601,MILENIAL INTI TELEKOMUNIKASI,MAKASSAR MATOANGIN,
202601,JALA LINTAS MEDIA,SURABAYA GUBENG,
202601,CINOXMEDIA NETWORK INDONESIA,PEKANBARU CENTRUM,
202601,CEMERLANG INTERNET INDONESIA,CIREBON,
202601,DATAKOM PADMA JAYA,SURABAYA KEBALEN,
202601,PT JASNITA TELEKOMINDO,SURABAYA GUBENG,Membership Class A
202601,TELKOM INFRASTRUKTUR INDONESIA,YOGYAKARTA KOTABARU,Membership Class C
202601,TAMAN WISATA CANDI BOROBUDUR,YOGYAKARTA KOTABARU,
202601,BINTANG MATARAM TEKNOLOGI,YOGYAKARTA KOTABARU,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,JAKARTA KARET TENGSIN,Membership Class A
202601,PT NAP INFO LINTAS NUSA,JAKARTA KARET TENGSIN,
202601,QUANTUM TERA NETWORK,JAKARTA KARET TENGSIN,Membership Class B
202601,MITRA VISIONER PRATAMA,JAKARTA KARET TENGSIN,Membership Class A
