PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,CENDIKIA GLOBAL SOLUSI,BANJARMASIN ULIN,
202601,LINTAS NETWORK SOLUSI,BANDUNG LEMBONG,
202601,CENDIKIA GLOBAL SOLUSI,SEMARANG CANDI,
202601,MEDIA ALVINA SEJATI (MASNET),MEDAN CENTRUM,Membership Class C
202601,ABHINAWA SUMBERDAYA ASIA,JAKARTA KARET TENGSIN,Membership Class A
202601,SARANA INSAN MUDA SELARAS (SIMS),YOGYAKARTA KOTABARU,Membership Class A
202601,PT INDONESIA COMNET PLUS,SURABAYA KEBALEN,
202601,JALA LINTAS MEDIA,DENPASAR KALIASEM,
202601,CENDIKIA GLOBAL SOLUSI,MEDAN CENTRUM,
202601,MEGA AKSES PERSADA (FIBERSTAR),PALEMBANG TALANG KALAPA,
202601,JALA LINTAS MEDIA,BATAM CENTRE,
202601,SOLNET INDONESIA,JAKARTA KARET TENGSIN,
202601,PT. PARSAORAN GLOBAL DATATRANS (HSPNET),PEKANBARU CENTRUM,
202601,PC24 CYBER TELIN,PALEMBANG TALANG KALAPA,
202601,JELAJAH KREASI INFORMATIKA,JAKARTA KARET TENGSIN,Membership Class C
202601,WOWRACK CEPAT TEKNOLOGI NUSANTARA (WOWNET),SURABAYA GUBENG,Membership Class C
202601,LINTAS JARINGAN NUSANTARA,SURABAYA GUBENG,Membership Class B
202601,JARINGANKU SARANA NUSANTARA,DENPASAR KALIASEM,
202601,PRIMA PERSADA MULTIMEDIA,BANDUNG LEMBONG,
202601,PADI INTERNET,JAKARTA KARET TENGSIN,
202601,CROSS NETWORK INDONESIA,MAKASSAR MATOANGIN,
202601,TIGA PILAR BANUA,BANJARMASIN ULIN,
202601,TRIKA GLOBAL MEDIA,DENPASAR KALIASEM,
202601,PT CYBERINDO ADITAMA,JAKARTA KARET TENGSIN,
202601,SPARKOO TECHNOLOGIES INDONESIA,JAKARTA KARET TENGSIN,
202601,MILENIAL INTI TELEKOMUNIKASI,BANDUNG LEMBONG,Membership Class C
202601,TELKOM INFRASTRUKTUR INDONESIA,BANDUNG LEMBONG,Membership Class B
202601,MAEJIN KARYA MEDIA,SEMARANG CANDI,
202601,PANDU PALAPA TELEMATIKA,MAKASSAR MATOANGIN,
202601,JALA LINTAS MEDIA,JAKARTA KARET TENGSIN,
202601,NEXUS INDONESIA PLUS,BANJARMASIN ULIN,
202601,RING MEDIA NUSANTARA,YOGYAKARTA KOTABARU,
202601,PT. PARSAORAN GLOBAL DATATRANS (HSPNET),BANDUNG LEMBONG,Membership Class B
202601,TELKOM INFRASTRUKTUR INDONESIA,PEKANBARU CENTRUM,Membership Class C
202601,MEGA AKSES PERSADA (FIBERSTAR),MAKASSAR MATOANGIN,
202601, LINTAS DATA TRANS,BANDUNG LEMBONG,
202601,GLOBAL INTERNET INDONESIA,JAKARTA KARET TENGSIN,
202601,PT BATAM BINTAN TELEKOMUNIKASI,MEDAN CENTRUM,
202601,SKYNET NETWORK BERSAMA,PEKANBARU CENTRUM,
202601,HASYA MITRA KOMUNIKA,MAKASSAR MATOANGIN,
202601,iFORTE SOLUSI INFOTEK,SEMARANG CANDI,
202601,ANDAL BERJAYA  INFOMEDIA,DENPASAR KALIASEM,
202601,UWAIS BORNEO GROUP,PONTIANAK CENTRUM,
202601,MANDALA LINTAS NUSA,MANADO PANIKI,
202601,SELARAS CITRA ARTMEDIA,SEMARANG CANDI,
202601,BOMM AKSES TEKNOLOGI,MAKASSAR MATOANGIN,
202601,MILENIAL INTI TELEKOMUNIKASI,ACEH CENTRUM,
202601,SURYA TEKNIKA PRATAMA,BATAM CENTRE,
